time,speed,baro_pressure,amb_air_temp,accelerator_pos_d,accelerator_pos_e,
230303_132555,29.307352025294247,90.00708770090239,-82.60745615438634,-77.59207295462586,63.25126546583478,
230303_132556,29.334905867213813,90.01224686812337,-82.5772200845132,-77.56141499847612,63.27666712163113,
230303_132556,29.347459722003805,90.01498800354051,-82.5635132205398,-77.54752768174816,63.288290268911396,
230303_132556,29.360209564688763,90.01800695108815,-82.54963391947213,-77.53347218623499,63.30012487361313,
230303_132557,29.37313695027631,90.02129970225978,-82.5356023111519,-77.51926890733164,63.312153871440074,
230303_132557,29.386255241074903,90.02487004911372,-82.52140398563827,-77.50490326965462,63.324389724209105,
230303_132557,29.399523755208367,90.02870678575056,-82.50708293807867,-77.49041978303244,63.33679448020037,
230303_132557,29.41295168057811,90.03281183458081,-82.49262912189813,-77.47580826629863,63.34937663545734,
230303_132558,29.42655590671073,90.03719047178143,-82.47802439025972,-77.46105037779485,63.36215201863727,
230303_132558,29.440356073603667,90.04185016958243,-82.46324782296789,-77.44612501046404,63.3751392545216,
230303_132558,29.45427853113311,90.04676609786627,-82.44837832705271,-77.4311118670211,63.38826900203082,
230303_132558,29.468381704600084,90.05195873662764,-82.43335346344954,-77.41594790094929,63.40159635225581,
230303_132559,29.482629764031977,90.05741543674539,-82.41821151329584,-77.40067176325215,63.41508750348868,
230303_132559,29.49700713135786,90.06312980624655,-82.40296892974074,-77.38530004073102,63.428727674871006,
230303_132559,29.511541963608394,90.06911306110872,-82.38759586536787,-77.3698026338201,63.442543583286586,
230303_132559,29.526227325426337,90.07536298651931,-82.372099809877,-77.35418711114674,63.45652868101877,
230303_132600,29.54103307353581,90.0818667798096,-82.35651252006846,-77.3384854750876,63.470654315203774,
230303_132600,29.55595729250897,90.08862314226988,-82.34083597311758,-77.32269970415521,63.48491856250217,
230303_132600,29.571002793089672,90.09563308712892,-82.32506715692868,-77.30682675777494,63.49932408878121,
230303_132600,29.58616092816885,90.10289238545664,-82.30921509894456,-77.290875731469,63.513862576180394,
230303_132601,29.60143948282808,90.11040471593981,-82.29327164891767,-77.27483837988872,63.528541524273805,
230303_132601,29.616846266900726,90.11817432618953,-82.27722872920585,-77.25870663244162,63.54336844935306,
230303_132601,29.632309225086637,90.12616424297117,-82.2611612577977,-77.24255578914962,63.55827393988645,
230303_132601,29.647915416730342,90.1344192565774,-82.24497873745055,-77.22629487751722,63.57334189175263,
230303_132602,29.663605427384365,90.14290841746639,-82.22874286129989,-77.20998591808903,63.58851500067948,
230303_132602,29.679385615319077,90.15163483441187,-82.21244699127517,-77.19362218948811,63.603799373163895,
230303_132602,29.69527072666031,90.160606867562,-82.19607593570478,-77.1771884865402,63.6192093182466,
230303_132602,29.711252307038567,90.16982020943881,-82.1796384902619,-77.1606936377698,63.63473669414089,
230303_132603,29.727307690335227,90.17926186628925,-82.16315121785907,-77.14415426945686,63.65036591016663,
230303_132603,29.743440864129518,90.18893407805591,-82.14663031110446,-77.12758661916494,63.66608155439056,
230303_132603,29.75966149407342,90.19884295698147,-82.13004558721022,-77.11096042399217,63.681912391227186,
230303_132603,29.775921956302724,90.20895918475198,-82.11345251058587,-77.09433129929903,63.69780545175303,
230303_132604,29.79224549416631,90.21929677578693,-82.09682728210655,-77.07767533619922,63.713783395848054,
230303_132604,29.808618511719338,90.22984914263267,-82.08018030900426,-77.06100300329032,63.729836197803536,
230303_132604,29.825046781489092,90.24061342022821,-82.06351587796284,-77.04431857397748,63.745959674233966,
230303_132604,29.84149579212725,90.2515730339592,-82.0468587530591,-77.0276468275665,63.76212972016404,
230303_132605,29.85806104415171,90.26279017157589,-82.03011576836043,-77.01089453941171,63.778437007710885,
230303_132605,29.87464293429264,90.27419818241509,-82.01338772158799,-76.9941625871095,63.79478360065205,
230303_132605,29.891222531968314,90.28578306371071,-81.9966935371117,-76.97746987001753,63.81115071207643,
230303_132605,29.90784452416002,90.29757563257526,-81.97998814703847,-76.96077131192612,63.82758240422049,
230303_132606,29.924524139181507,90.30958739743991,-81.96325638611665,-76.9440517750428,63.844093806277286,
230303_132606,29.941208642070716,90.3217806210275,-81.94655116872893,-76.92736414266749,63.86063277645265,
230303_132606,29.95789779370612,90.33415471384856,-81.92987265519376,-76.91070856140585,63.87719902068772,
230303_132606,29.974598835963935,90.34671482686808,-81.91321360518575,-76.8940777952538,63.89379967427538,
230303_132607,29.99133483543943,90.35947876370489,-81.89655107395745,-76.8774489667414,63.91045773675733,
230303_132607,30.008063443131565,90.37241450169584,-81.87992729013604,-76.86086418348755,63.927131078115835,
230303_132607,30.024817189103366,90.38554751004793,-81.8633099325643,-76.84429125310643,63.94385220127928,
230303_132607,30.041538031899265,90.39883227918081,-81.84675661859146,-76.82778762482674,63.9605631362133,
230303_132608,30.058233592373565,90.41227424456798,-81.83025967737683,-76.81134563149547,63.977271433582125,
230303_132608,30.074911854925162,90.42587960054679,-81.81381117812289,-76.79495736154585,63.99398505399625,
230303_132608,30.091576442945176,90.43965140260282,-81.79740756498046,-76.77861927521498,64.01070764125363,
230303_132608,30.10820549678338,90.45357154266378,-81.78107036220291,-76.76235280944157,64.02741723923793,
230303_132609,30.124797896128488,90.46763881997285,-81.76480058033214,-76.74615896228175,64.04411273333268,
230303_132609,30.14139089797531,90.48188529065395,-81.74856181337594,-76.7300015121756,64.06083162718392,
230303_132609,30.15797753745486,90.49630609059069,-81.73236106024885,-76.71388745756305,64.0775670604049,
230303_132609,30.17447876746121,90.51083235424524,-81.71627552083476,-76.69789358123471,64.09423924571067,
230303_132610,30.19091814956155,90.52548397726328,-81.70028204198897,-76.68199683444983,64.11087190552578,
230303_132610,30.20729529048635,90.54026020969872,-81.684380956943,-76.66619753719463,64.12746458108965,
230303_132610,30.223652037663047,90.55519929860904,-81.66853170503683,-76.65045540336885,64.14405974624681,
230303_132610,30.239894564832163,90.57021531303398,-81.6528251876813,-76.63486071261096,64.16056214745157,
230303_132611,30.25606812138888,90.58534918415047,-81.63721747523473,-76.61936981976996,64.17701765779904,
230303_132611,30.27216472755921,90.60059331479201,-81.62171624524557,-76.60399035451577,64.19341814176401,
230303_132611,30.307176726906846,90.6343913453301,-81.58811245783092,-76.57067066556901,64.22917282464533,
230303_132612,30.323077224050706,90.65003638961358,-81.57290380090225,-76.55559993764352,64.24544838021855,
230303_132612,30.338873153197103,90.66576576593422,-81.55782826275197,-76.5406670446588,64.26164081384792,
