time,fuel_status,engine_load,coolant_temp,intake_pressure,rpm,speed,intake_temp,throttle_pos,
230305_114504,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114506,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114506,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114506,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114506,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114507,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114507,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114507,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114507,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114508,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114508,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114508,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114508,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114509,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114509,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114509,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114509,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114510,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114510,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114510,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114510,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114511,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114511,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114511,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114511,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114512,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114512,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114512,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
230305_114513,('Open loop due to insufficient engine temperature', ''),0.0,13,98,0.0,0.0,13,12.156862745098039,
